Problem,GradientDescent,GradientDescentW,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,241,241,3,3,7,12,55,55,81,81
P2_quad_10_1000,FAIL,FAIL,3,3,12,15,113,113,FAIL,FAIL
P3_quad_1000_10,285,285,SKIP,SKIP,SKIP,30,79,79,113,113
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,5,5,5,5,4,4,7,7,7,7
P6_quartic_2,96,103,39,39,20,53,223,228,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,50,51,26,137,88,96,116,96
P8_rosenbrock_100,815,845,SKIP,SKIP,SKIP,FAIL,1124,1241,730,844
P9_datafit_2,5113,5193,18,19,8,21,39,42,57,60
P10_exponential_10,73,46,55,56,15,21,55,52,389,1347
P11_exponential_1000,47,46,SKIP,SKIP,SKIP,23,24,22,24,22
P12_genhumps_5,518,601,269,358,101,39,142,148,FAIL,FAIL
